Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
Glory in Death ,In Death,J.D. Robb ,Suspence/Thriller,4.27,"64,300","3,059",613,7,"December 1, 1995",296
Diary,,Chuck Palahniuk ,Suspence/Thriller,3.64,"77,712","2,786",612,7,"August 26, 2003",262
Hunger,,Knut Hamsun,Suspence/Thriller,4.06,"54,558","4,300",518,6,"January 1, 1890",134
The Monkey's Raincoat ,Elvis Cole,Robert Crais,Suspence/Thriller,4,"27,662","1,462",441,9,"July 1, 1987",237
The Trial,,Franz Kafka,Suspence/Thriller,3.96,"3,14,225","13,368",801,11,"April 26, 1925",255
Postmortem ,Kay Scarpetta,Patricia Daniels Cornwell,Suspence/Thriller,4.03,"2,41,347","3,966","8,700",100,"January 9, 1990",342
The New Husband,,D.J.  Palmer ,Suspence/Thriller,3.8,"13,997","3,109","1,691",17,"April 14, 2020",376
Big Little Lies,,Liane Moriarty ,Suspence/Thriller,4.31,"9,86,428","53,896","1,155",15,"December 25, 2014",460
The Venetian Betrayal ,Cotton Malone,Steve Berry ,Suspence/Thriller,3.96,"27,222","1,083",517,7,"December 11, 2007",608
The New York Trilogy ,New York Trilogy,Paul Auster,Suspence/Thriller,3.88,"73,615","4,306",611,7,"January 1, 1987",308
Keeping Secrets,,L.A. Dobbs ,Suspence/Thriller,4.22,"8,092",251,"1,151",12,"May 15, 2017",264
The Mermaids Singing ,Tony Hill & Carol Jordan,Val McDermid,Suspence/Thriller,3.96,"25,152","1,521",799,13,"December 31, 1995",364
Storm Rising ,Kelli Storm,Kenneth Hoss ,Suspence/Thriller,4.4,53,27,"1,672",17,"May 24, 2011",253
Decider,,Dick Francis,Suspence/Thriller,4.04,"5,124",257,440,5,"October 14, 1993",341
Jaws ,Jaws,Peter Benchley,Suspence/Thriller,3.96,"1,61,053","5,830","8,556",96,"May 6, 1974",320
The Black Box ,"Harry Bosch, #16; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.15,"59,985","3,535",611,8,"November 26, 2012",403
I Miss The World,,Violet LeVoit ,Suspence/Thriller,3.8,361,57,438,6,"November 16, 2016",154
The Honourable Schoolboy ,"George Smiley, #6; Karla Trilogy",John le Carré,Suspence/Thriller,3.98,"22,562","1,268",517,9,"September 1, 1977",589
Intensity,,Dean Koontz ,Suspence/Thriller,4.04,"83,969","4,105","8,512",89,"January 1, 1995",436
The Testament,,John Grisham ,Suspence/Thriller,3.9,"1,19,547","3,732","1,147",16,"February 2, 1999",533
The Blade Artist ,Mark Renton,Irvine Welsh,Suspence/Thriller,3.82,"7,149",464,799,10,"April 7, 2016",448
The Cover-Up,,Dana Griffin ,Suspence/Thriller,4.33,253,31,"1,665",17,"October 1, 2012",312
The Spy Who Came In from the Cold ,George Smiley,John le Carré,Suspence/Thriller,4.08,"1,07,942","6,514","8,505",95,"September 1, 1963",212
The Eiger Sanction ,Jonathan Hemlock,Trevanian,Suspence/Thriller,4.06,"12,347",291,609,9,"January 1, 1972",336
Whispers Under Ground ,Rivers of London,Ben Aaronovitch ,Suspence/Thriller,4.15,"56,409","3,405",438,5,"June 21, 2012",418
Midnight Sacrifice ,Midnight,Melinda Leigh ,Suspence/Thriller,4.23,"18,667",434,"1,143",12,"April 16, 2013",315
Patriot Games ,Jack Ryan,Tom Clancy,Suspence/Thriller,4.16,"2,05,025","1,805","7,843",90,"August 4, 1987",794
King of the Mekong,,Damian Magnay ,Suspence/Thriller,3.98,45,1,"1,662",17,"April 13, 2014",226
Nine Dragons ,"Harry Bosch, #14; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.04,"50,780","3,139",516,8,"October 13, 2009",374
The Chancellor Manuscript,,Robert Ludlum,Suspence/Thriller,3.85,"6,507",162,795,9,"January 1, 1977",448
Appointment with Death ,Hercule Poirot,Agatha Christie,Suspence/Thriller,3.87,"57,468","3,608",437,6,"May 2, 1938",303
A Simple Plan,,Scott        Smith,Suspence/Thriller,3.91,"31,276","1,759",609,7,"August 31, 1993",416
One Day in the Life of Ivan Denisovich,,Aleksandr Solzhenitsyn,Suspence/Thriller,3.98,"1,12,524","5,912","1,137",14,"November 1, 1962",182
Tropic of Cancer ,Tropic,Henry Miller,Suspence/Thriller,3.67,"71,637","4,215",515,6,"January 1, 1934",318
American Psycho,,Bret Easton Ellis,Suspence/Thriller,3.81,"3,06,725","18,143","7,817",88,"March 6, 1991",399
Ice Station ,Shane Schofield,Matthew Reilly,Suspence/Thriller,4.12,"32,577","1,499",437,6,"August 1, 1998",513
The Cardinal of the Kremlin ,Jack Ryan,Tom Clancy,Suspence/Thriller,4.08,"55,786",948,"1,657",22,"July 28, 1988",547
The Amityville Horror,,Jay Anson,Suspence/Thriller,3.84,"1,28,714","4,284",512,7,"September 13, 1977",315
The Leviathan Effect,,James Lilliefors ,Suspence/Thriller,3.85,577,82,795,8,"March 19, 2013",336
Rainbow Six ,"John Clark, #2; Jack Ryan Universe",Tom Clancy,Suspence/Thriller,4.12,"53,895","1,389","1,134",16,"August 3, 1998",912
4 3 2 1,,Paul Auster,Suspence/Thriller,3.96,"29,954","4,227",609,8,"January 31, 2017",866
Cujo,,Stephen King ,Suspence/Thriller,3.78,"2,79,760","7,554",437,5,"January 1, 1981",432
Fahrenheit 451,,Ray Bradbury,Suspence/Thriller,3.97,"23,54,941","71,409","7,730",90,"October 19, 1953",194
The Ruins,,Scott        Smith,Suspence/Thriller,3.67,"48,912","5,836",511,6,"July 18, 2006",509
Bloodline ,Sigma Force,James Rollins ,Suspence/Thriller,4.24,"23,267","1,356",608,8,"June 26, 2012",447
’Salem’s Lot,,Stephen King ,Suspence/Thriller,4.05,"4,44,746","17,435","1,650",21,"October 17, 1975",483
Coin Locker Babies,,Ryū Murakami,Suspence/Thriller,3.79,"8,264",600,794,9,"October 28, 1980",393
The Book of Revelation,,Rupert Thomson,Suspence/Thriller,3.56,"1,152",99,437,5,"January 1, 1999",272
Tick Tock,,Dean Koontz ,Suspence/Thriller,3.75,"34,164","1,285","1,125",14,"January 1, 1996",352
Void Moon ,Harry Bosch Universe,Michael Connelly ,Suspence/Thriller,4,"30,178","1,391",789,12,"December 7, 1999",416
The Cost of Crude ,Gwynn Reznick,Inge-Lise Goss ,Suspence/Thriller,4.06,461,79,"1,636",17,"May 8, 2014",290
The Soft Machine ,The Nova Trilogy,William S. Burroughs,Suspence/Thriller,3.43,"6,468",392,511,6,"January 1, 1961",184
The Hunger Games ,The Hunger Games,Suzanne Collins,Suspence/Thriller,4.33,"84,44,241","2,12,746","7,618",85,"September 14, 2008",374
Junky,,William S. Burroughs,Suspence/Thriller,3.85,"63,855","2,222",606,7,"April 15, 1953",166
Dark Matter,,Blake Crouch ,Suspence/Thriller,4.13,"4,67,254","54,790",433,5,"July 26, 2016",352
Slaughterhouse-Five,,Kurt Vonnegut Jr.,Suspence/Thriller,4.09,"13,50,225","38,471","1,124",13,"March 31, 1969",275
Bad Luck and Trouble ,Jack Reacher,Lee Child ,Suspence/Thriller,4.21,"89,322","3,793",787,13,"April 2, 2007",378
The Alexandria Link ,Cotton Malone,Steve Berry ,Suspence/Thriller,3.94,"41,742","1,451","1,634",20,"January 30, 2007",462
Counter Identity ,Remmich/Miller,Karl Braungart ,Suspence/Thriller,4.31,"3,892",13,"7,405",77,"October 1, 2021",260
Moon Palace,,Paul Auster,Suspence/Thriller,3.98,"24,799","1,345",432,5,"February 1, 1989",320
High-Rise,,J.G. Ballard,Suspence/Thriller,3.61,"32,507","3,231",605,7,"November 1, 1975",208
Her Final Breath ,Tracy Crosswhite,Robert Dugoni ,Suspence/Thriller,4.31,"61,803","2,667","1,120",12,"September 15, 2015",438
Faceless Killers ,Kurt Wallander,Henning Mankell,Suspence/Thriller,3.77,"74,109","3,960",787,9,"January 1, 1991",280
The Poet ,"Jack McEvoy, #1; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.22,"99,548","4,035","7,388",82,"January 28, 1996",510
The Butterfly Garden  ,The Collector,Dot Hutchison,Suspence/Thriller,4.08,"1,78,854","16,779",785,10,"June 1, 2016",288
The Bear and the Dragon  ,"John Clark, #3; Jack Ryan Universe",Tom Clancy,Suspence/Thriller,3.89,"29,344",660,506,8,"August 21, 2000",1137
Darkly Dreaming Dexter ,Dexter,Jeff Lindsay ,Suspence/Thriller,3.9,"2,05,421","7,401","1,633",19,"May 5, 2004",288
The Watchman ,"Elvis Cole, #11; Joe Pike",Robert Crais,Suspence/Thriller,4.13,"26,320","1,226","1,116",17,"February 27, 2007",304
Money,,Martin Amis,Suspence/Thriller,3.69,"23,306","1,360",604,7,"January 1, 1984",394
Déjà Dead ,Temperance Brennan,Kathy Reichs ,Suspence/Thriller,3.87,"1,49,586","4,567",432,5,"September 2, 1997",532
First Family ,Sean King & Michelle Maxwell,David Baldacci ,Suspence/Thriller,4.09,"43,698","2,298",603,9,"April 21, 2009",449
The Woman in the Window,,A.J. Finn,Suspence/Thriller,3.95,"7,59,186","58,767",782,9,"January 2, 2018",455
The Dinner,,Herman Koch,Suspence/Thriller,3.22,"1,59,152","19,448",505,6,"January 1, 2009",292
Killing Floor,,Lee Child ,Suspence/Thriller,4.07,"3,11,974","13,609","7,369",85,"January 1, 1997",474
The Camel Club ,The Camel Club,David Baldacci ,Suspence/Thriller,4.06,"91,398","3,318","1,627",22,"October 25, 2005",480
Novel with Cocaine,,M. Ageyev,Suspence/Thriller,3.83,"3,083",225,780,10,"January 1, 1934",204
In the Blood ,Terminal List,Jack Carr ,Suspence/Thriller,4.5,"16,225",792,780,8,"May 31, 2022",459
One for the Money ,Stephanie Plum,Janet Evanovich ,Suspence/Thriller,4.05,"5,45,526","16,919","1,110",15,"August 26, 1994",320
A Human Element,,Donna Galanti ,Suspence/Thriller,3.88,234,92,600,6,"March 7, 2012",328
Rules of Prey ,Lucas Davenport,John Sandford,Suspence/Thriller,4.11,"86,482","2,842","7,101",82,"July 24, 1989",479
The Crucifix Killer ,Robert Hunter,Chris Carter,Suspence/Thriller,4.27,"28,334","2,557",431,5,"August 1, 2009",448
Battle Royale,,Koushun Takami,Suspence/Thriller,4.25,"74,149","7,763",505,6,"April 21, 1999",624
Angels Flight ,"Harry Bosch, #6; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.21,"60,544","2,386","1,625",24,"January 28, 1999",454
One Hundred Years of Solitude,,Gabriel García Márquez,Suspence/Thriller,4.11,"9,53,667","44,291",431,5,"May 1, 1967",417
The Moses Expedition ,Father Anthony Fowler,Juan Gómez-Jurado ,Suspence/Thriller,3.71,"3,848",363,504,6,"November 30, 2007",386
Long Way Home ,Jack McNeal,J.B. Turner ,Suspence/Thriller,4.23,"3,551",72,780,8,"February 21, 2023",300
Jackdaws,,Ken Follett ,Suspence/Thriller,4.05,"37,899","1,766","1,106",15,"December 3, 2001",432
Presumed Innocent ,Kindle County Legal Thriller,Scott Turow ,Suspence/Thriller,4.1,"1,15,385","1,971","6,965",80,"August 1, 1987",421
Advent,,David         Miller ,Suspence/Thriller,4.23,22,14,600,6,"June 20, 2013",340
Smiley's People ,"George Smiley, #7; Karla Trilogy",John le Carré,Suspence/Thriller,4.28,"38,551","1,258","1,623",21,"January 2, 1979",397
The Secret Agent,,Joseph Conrad,Suspence/Thriller,3.59,"22,398","1,699",430,5,"January 1, 1907",304
Half Built Houses ,Charley Trilogy,Eric  Keller ,Suspence/Thriller,3.79,"1,425",16,600,6,"August 1, 2012",325
Buried Prey ,Lucas Davenport,John Sandford,Suspence/Thriller,4.25,"37,371","1,517",504,8,"May 10, 2011",390
The Sounding,,Carrie Salo ,Suspence/Thriller,4.07,136,42,779,8,"February 11, 2014",469
Digital Fortress,,Dan Brown ,Suspence/Thriller,3.69,"6,31,397","10,934","6,909",79,"February 1, 1998",510
The Terminal Connection,,Dan Needles ,Suspence/Thriller,3.6,142,21,"1,094",11,"January 23, 2014",412
Pet Sematary,,Stephen King ,Suspence/Thriller,4.06,"5,76,799","23,307",429,5,"November 14, 1983",580
Thicker than Blood,,Don Brobst ,Suspence/Thriller,4.49,93,16,600,6,"February 27, 2020",293
The Matarese Circle ,Matarese,Robert Ludlum,Suspence/Thriller,4.07,"41,430",420,"1,622",21,"March 14, 1979",544
Night Fall ,John Corey,Nelson DeMille ,Suspence/Thriller,4.12,"33,287","1,666",779,12,"November 1, 2004",576
Tropic of Capricorn ,Tropic,Henry Miller,Suspence/Thriller,3.81,"20,116",848,504,7,"February 1, 1939",348
Kiss the Girls ,Alex Cross,James Patterson ,Suspence/Thriller,3.99,"3,35,802","4,153","6,891",80,"January 11, 1995",481
The Thin Man,,Dashiell Hammett,Suspence/Thriller,3.92,"34,911","2,708","1,614",21,"December 1, 1933",201
Never Smile at Strangers,,Jennifer Jaynes,Suspence/Thriller,3.85,"9,153",764,"1,091",11,"November 16, 2011",328
The Face of Deception ,Eve Duncan,Iris Johansen ,Suspence/Thriller,4.07,"25,888","1,104",428,6,"January 1, 1998",326
Better Left Buried,,Mary E. Roach ,Suspence/Thriller,4.84,32,8,600,6,,304
Naked Lunch,,William S. Burroughs,Suspence/Thriller,3.46,"90,299","4,711",779,9,"July 1, 1959",289
The Rose Code,,Kate Quinn ,Suspence/Thriller,4.46,"2,33,107","20,929","1,085",11,"March 9, 2021",624
The Blessing Way ,Leaphorn & Chee,Tony Hillerman,Suspence/Thriller,4.02,"26,602","1,475","1,601",22,"January 1, 1970",306
Dark Passage ,Dark Passage,M.L. Woolley ,Suspence/Thriller,3.85,"1,703",106,599,6,"May 20, 2012",334
Angels,,Denis Johnson,Suspence/Thriller,3.96,"4,846",469,503,6,"January 1, 1977",209
"Tinker, Tailor, Soldier, Spy ","George Smiley, #5; Karla Trilogy",John le Carré,Suspence/Thriller,4.06,"93,181","5,312","6,841",79,"April 1, 1974",381
Kisscut ,Grant County,Karin Slaughter ,Suspence/Thriller,4.08,"53,829","2,756","1,083",12,"January 1, 2002",436
The Hanging Garden ,Inspector Rebus,Ian Rankin ,Suspence/Thriller,4.09,"13,121",468,428,5,"January 1, 1998",349
The Help,,Kathryn Stockett ,Suspence/Thriller,4.47,"27,10,235","89,793",777,9,"February 10, 2009",464
The Terminal Man,,Michael Crichton,Suspence/Thriller,3.4,"28,128","1,075","1,078",16,"March 1, 1972",247
The Collectors ,The Camel Club,David Baldacci ,Suspence/Thriller,4.06,"48,264",,425,5,,
Die Trying ,Jack Reacher,Lee Child ,Suspence/Thriller,4.06,"1,40,349","6,055","1,585",24,"July 20, 1998",567
Devil's Nightmare ,Devil's Nightmare,Robert Pruneda ,Suspence/Thriller,3.89,623,92,599,6,"January 6, 2013",334
Still Missing,,Chevy Stevens ,Suspence/Thriller,3.99,"87,261",,502,6,,
Coma,,Robin Cook ,Suspence/Thriller,3.88,"51,446","1,027","6,703",75,"January 1, 1959",384
The Treatment ,Jack Caffery,Mo Hayder,Suspence/Thriller,4.03,"12,409","1,055",423,5,"January 1, 2001",499
Open Season ,Joe Pickett,C.J. Box,Suspence/Thriller,3.99,"45,398","3,557",599,8,"May 7, 2001",278
Dead End Girl ,Violet Darger,L.T. Vargus ,Suspence/Thriller,4.19,"21,666","1,103","1,069",11,"April 12, 2017",495
An Invisible Client,,Victor Methos ,Suspence/Thriller,4.41,"15,077",822,776,8,"January 26, 2016",240
Treasure Island,,Robert Louis Stevenson,Suspence/Thriller,3.84,"4,81,137","16,009","1,572",20,"January 28, 1882",245
Persuader ,Jack Reacher,Lee Child ,Suspence/Thriller,4.13,"86,900","3,596",423,9,"April 1, 2003",496
The Dark Before Dawn ,Gabriel McRay,Laurie Stevens ,Suspence/Thriller,3.97,284,57,500,5,"June 24, 2011",378
The Concrete Blonde ,"Harry Bosch, #3; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.21,"68,823","3,011","6,577",76,"January 1, 1994",484
Echo Burning ,Jack Reacher,Lee Child ,Suspence/Thriller,4.04,"91,689","3,774","1,068",17,"June 25, 2001",432
The Marbled Swarm,,Dennis Cooper,Suspence/Thriller,3.45,"1,206",165,598,7,"November 1, 2011",208
Bullets and Train,,Adeerus Ghayan ,Suspence/Thriller,4.41,34,5,500,5,"July 4, 2014",150
The Gravy Train,,David Lender ,Suspence/Thriller,3.66,458,41,"1,568",16,"January 17, 2012",231
Dempsey ,Tier One,Brian  Andrews ,Suspence/Thriller,4.58,"1,708",86,775,8,"February 21, 2023",350
Profile,,C.D. Blizzard ,Suspence/Thriller,3.93,27,2,500,5,"October 28, 2002",392
Helter Skelter: The True Story of the Manson Murders,,Vincent Bugliosi,Suspence/Thriller,4.06,"1,44,550","5,129",423,5,"January 1, 1974",689
Too Much Information,,David  Haskell ,Suspence/Thriller,4.05,131,24,597,6,"July 9, 2013",337
Where Eagles Dare,,Alistair MacLean,Suspence/Thriller,4.14,"45,862",654,"1,066",14,"June 1, 1967",320
The Little Sister ,Philip Marlowe,Raymond Chandler,Suspence/Thriller,3.98,"17,044",,"1,557",16,,
The Family Tree,,Steph Mullin ,Suspence/Thriller,3.63,"1,775",,500,5,,
The Sum of All Fears ,Jack Ryan,Tom Clancy,Suspence/Thriller,4.06,"62,023",934,"6,511",71,"August 14, 1991",914
Living Dead Girl,,Elizabeth Scott ,Suspence/Thriller,3.78,"31,808","4,599",423,6,"September 2, 2008",170
Hell's Angels,,Hunter S. Thompson,Suspence/Thriller,3.99,"48,739","1,894",597,7,"February 17, 1966",295
Consent to Kill ,Mitch Rapp,Vince Flynn,Suspence/Thriller,4.39,"48,924","1,263",774,10,"October 11, 2005",675
The Cabinet of Curiosities ,"Pendergast, #3; Nora Kelly",Douglas Preston ,Suspence/Thriller,4.26,"50,428","2,769","6,461",71,"June 3, 2002",629
Worth Dying For ,Jack Reacher,Lee Child ,Suspence/Thriller,4.22,"92,561","4,026","1,555",21,"September 30, 2010",400
My Wife Jodie,,V.A. Rudys ,Suspence/Thriller,3.97,697,72,500,5,"July 16, 2021",384
Heavy Duty Attitude ,Brethren Trilogy,Iain Parke ,Suspence/Thriller,4.05,104,6,596,6,"December 14, 2011",230
The Road,,Cormac McCarthy,Suspence/Thriller,3.99,"8,85,292","57,642","1,053",12,"September 26, 2006",241
The Maltese Falcon,,Dashiell Hammett,Suspence/Thriller,3.88,"1,05,540","6,388","6,457",72,"January 1, 1930",213
The Couple Next Door,,Shari Lapena ,Suspence/Thriller,3.81,"5,64,745","37,804",422,6,"July 14, 2016",308
The Liquidator,,Iain Parke ,Suspence/Thriller,3.88,66,8,595,6,"September 24, 2009",284
Saving Noah,,Lucinda Berry ,Suspence/Thriller,4.05,"37,117","4,929",774,8,"September 6, 2017",259
Renatus ,Renatus,John A.   Saunders ,Suspence/Thriller,3.78,"1,496",9,"1,554",16,"January 11, 2013",366
The Client,,John Grisham ,Suspence/Thriller,4.05,"4,42,201","3,189","6,384",75,"March 1, 1993",483
Resurrection Men ,Inspector Rebus,Ian Rankin ,Suspence/Thriller,4.05,"13,591",547,499,7,"January 1, 2001",528
Dubliners,,James Joyce,Suspence/Thriller,3.84,"1,53,082","8,614",422,5,"June 15, 1914",207
The 7th Canon,,Robert Dugoni ,Suspence/Thriller,4.26,"24,404",943,"1,043",11,"September 27, 2016",333
The Good Husband,,Abigail Osborne ,Suspence/Thriller,3.96,133,57,595,6,"July 27, 2022",360
Snare ,Steven Hawk & Inola Walela,Deborah J. Ledford ,Suspence/Thriller,4.45,73,14,"1,548",16,"December 21, 2010",359
Heart of Darkness,,Joseph Conrad,Suspence/Thriller,3.43,"5,05,009","20,036",772,9,"January 1, 1899",188
The Perfect Child,,Lucinda Berry ,Suspence/Thriller,4.06,"1,09,873","10,575",594,6,"March 1, 2019",371
Killing Yourself to Live: 85% of a True Story,,Chuck Klosterman,Suspence/Thriller,3.85,"27,839","1,307",422,5,"June 28, 2005",245
The Lincoln Lawyer ,"The Lincoln Lawyer, #1; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.2,"2,32,462","7,070","6,368",76,"October 3, 2005",405
Viral,,James Lilliefors ,Suspence/Thriller,3.63,839,110,499,5,"January 1, 2012",336
The Talented Mr. Ripley ,Ripley,Patricia Highsmith,Suspence/Thriller,3.94,"87,345","5,750","1,035",13,"January 1, 1955",273
A Clean Kill in Tokyo ,John Rain,Barry Eisler ,Suspence/Thriller,3.98,"18,553","1,059","1,543",19,"January 1, 2003",363
The Big Sleep ,Philip Marlowe,Raymond Chandler,Suspence/Thriller,3.95,"1,53,456","7,660",766,10,"February 6, 1939",231
A Merciful Death ,Mercy Kilpatrick,Kendra Elliot ,Suspence/Thriller,4.17,"50,870","2,074","1,033",11,"January 17, 2017",353
Dreams Unleashed ,The Prophecies,Linda Hawley ,Suspence/Thriller,3.64,287,67,593,6,"May 20, 2011",264
A Clockwork Orange,,Anthony Burgess,Suspence/Thriller,4,"7,03,035","20,054","6,365",72,"January 1, 1962",240
Lost Light ,"Harry Bosch, #9; Harry Bosch Universe",Michael Connelly ,Suspence/Thriller,4.21,"60,828","2,207","1,542",22,"January 1, 2003",387
Vanish ,Rizzoli & Isles,Tess Gerritsen ,Suspence/Thriller,4.14,"65,917","2,140",764,10,"August 23, 2005",401
In the Miso Soup,,Ryū Murakami,Suspence/Thriller,3.62,"30,931","3,438",421,5,"January 1, 1997",217
Kill Me ,Alan Gregory,Stephen White,Suspence/Thriller,3.95,"3,811",380,592,8,"March 2, 2006",489
Savage Grounds ,Dalton Savage,L.T. Ryan ,Suspence/Thriller,4.29,"4,888",114,"6,147",64,"November 8, 2022",255
City of Bones ,The Mortal Instruments,Cassandra Clare ,Suspence/Thriller,4.07,"19,75,359","74,732",499,6,"March 27, 2007",485
You Will Know Me,,Megan Abbott ,Suspence/Thriller,3.43,"42,798","4,518",592,7,"July 26, 2016",345
A Study in Scarlet ,Sherlock Holmes,Arthur Conan Doyle,Suspence/Thriller,4.14,"4,34,961","16,545",763,10,"January 1, 1887",123
The Bridge To Caracas ,The King Trilogy,Stephen Douglass ,Suspence/Thriller,3.7,"3,833",44,"1,540",16,"June 23, 2011",
61 Hours ,Jack Reacher,Lee Child ,Suspence/Thriller,4.12,"88,450","4,747","1,031",17,"March 18, 2010",383
Howl and Other Poems,,Allen Ginsberg,Suspence/Thriller,4.13,"1,10,087","2,739",421,5,"January 1, 1956",56
Rosemary's Baby ,Rosemary's Baby,Ira Levin,Suspence/Thriller,4.04,"1,38,359","6,614","6,135",69,"January 1, 1967",308
The Room,,Hubert Selby Jr.,Suspence/Thriller,3.7,"6,270",273,592,7,"January 1, 1971",288
Inherit The Whirlwind: The Final Showdown Between Science And Religion,,D.R. Pope,Suspence/Thriller,4.52,56,14,499,5,"May 7, 2017",280
Pursuit of Angels.,,Anthony Hulse ,Suspence/Thriller,4.4,30,5,763,8,"August 7, 2017",218
Shadow Man ,Smoky Barrett,Cody McFadyen,Suspence/Thriller,4.14,"13,713","1,132","1,536",18,"June 13, 2006",496
White Walls,,H.M.C. ,Suspence/Thriller,4.05,106,41,591,6,"June 21, 2013",245
The Faithful Spy ,John Wells,Alex Berenson ,Suspence/Thriller,4.02,"17,004",992,"1,021",14,"April 25, 2006",352
The Children Act,,Ian McEwan ,Suspence/Thriller,3.73,"77,350","7,509",762,9,"September 1, 2014",221
Absolute Power,,David Baldacci ,Suspence/Thriller,4.19,"1,05,083","2,334","6,108",68,"October 4, 1995",550
The Stranger,,Albert Camus,Suspence/Thriller,4.02,"10,52,480","46,271",421,5,"May 19, 1942",159
Pinot Noir ,A Louise Moscow Novel Book,Lorraine Evanoff ,Suspence/Thriller,4.27,101,33,499,5,"October 21, 2019",435
Lullaby,,Chuck Palahniuk ,Suspence/Thriller,3.74,"98,173","3,486",590,7,"January 1, 2002",260
1984,,George Orwell,Suspence/Thriller,4.19,"44,72,883","1,10,920","1,533",21,"June 8, 1949",328
The Cove  ,FBI Thriller,Catherine Coulter ,Suspence/Thriller,3.85,"26,787","1,197",759,10,"April 1, 1996",336
The Lines We Cross,,S.A. Bailey ,Suspence/Thriller,4.58,53,15,498,5,"May 2, 2013",399
The Hollow Man: A ,Transgressive) Novel Of,G. Patrick Huskins ,Suspence/Thriller,3.5,12,4,420,5,"May 5, 2009",350
Clear and Present Danger ,"Jack Ryan, #5; Jack Ryan Universe",Tom Clancy,Suspence/Thriller,4.13,"1,38,410",985,"6,102",73,"August 17, 1989",688
The End of Everything,,Megan Abbott ,Suspence/Thriller,3.36,"15,385","1,955","1,017",13,"July 7, 2011",246
Performance Anomalies,,Victor Robert Lee ,Suspence/Thriller,3.66,162,89,589,6,"December 20, 2012",290
Perfume: The Story of a Murderer,,Patrick Süskind,Suspence/Thriller,4.04,"4,55,730","23,836","1,528",18,"January 1, 1985",263
Less Than Zero,,Bret Easton Ellis,Suspence/Thriller,3.6,"84,427","4,961",751,8,"May 1, 1985",208
Summer of Night ,Seasons of Horror,Dan Simmons,Suspence/Thriller,4.04,"25,365","2,089",418,5,"February 13, 1991",600
The Face of a Stranger ,William Monk,Anne Perry,Suspence/Thriller,4.03,"18,069","1,279",497,8,"January 1, 1990",345
Nobody Move,,Denis Johnson,Suspence/Thriller,3.32,"4,645",679,589,8,"January 1, 2009",196
Iron Lake ,Cork O'Connor,William Kent Krueger ,Suspence/Thriller,3.96,"41,130","3,766","1,015",13,"August 1, 1998",464
Jack & Jill ,Alex Cross,James Patterson ,Suspence/Thriller,3.99,"79,842","2,034","6,052",65,"September 28, 1996",466
Inferno ,Robert Langdon,Dan Brown ,Suspence/Thriller,3.88,"5,44,984","39,147","1,512",20,"May 14, 2013",463
The Street Lawyer,,John Grisham ,Suspence/Thriller,3.87,"1,15,012","3,055","1,000",12,"February 16, 1998",384
Women,,Charles Bukowski,Suspence/Thriller,3.82,"77,169","3,831",749,9,"January 1, 1978",291
Behind Her Eyes,,Sarah Pinborough ,Suspence/Thriller,3.8,"1,56,171","23,128",418,5,"January 26, 2017",307
Seasonable Doubt,,Robin      James ,Suspence/Thriller,4.39,"1,120",28,"6,044",63,"November 20, 2023",302
The Survival Rule ,"A Rain City Legal Thriller, Book",Stephen Penner ,Suspence/Thriller,4.19,837,15,"6,040",63,"November 29, 2023",244
The Big Four ,Hercule Poirot,Agatha Christie,Suspence/Thriller,3.57,"57,777","4,714",588,8,"January 27, 1927",272
And the Rain Came Down,,S.A. Bailey ,Suspence/Thriller,4.23,92,16,497,5,"March 9, 2010",326
In the Clearing ,Tracy Crosswhite,Robert Dugoni ,Suspence/Thriller,4.28,"54,446","2,158",747,8,"May 17, 2016",335
The Picture of Dorian Gray,,Oscar Wilde,Suspence/Thriller,4.12,"14,84,800","65,954",588,7,"June 1, 1890",272
Roadside Crosses ,Kathryn Dance,Jeffery Deaver ,Suspence/Thriller,3.85,"13,144","1,014",990,13,"June 9, 2009",397
Pitfall,,Cameron Bane,Suspence/Thriller,4.14,72,17,497,5,"July 25, 2015",332
The Host ,The Host,Stephenie Meyer,Suspence/Thriller,3.86,"9,97,489","43,630","1,505",17,"May 6, 2008",624
The Rum Diary,,Hunter S. Thompson,Suspence/Thriller,3.84,"60,357","2,500",417,5,"January 1, 1998",224
Dead Babies,,Martin Amis,Suspence/Thriller,3.38,"6,040",261,586,7,"January 1, 1975",206
The Namatjira Connection ,Genevieve Lenard,Estelle Ryan ,Suspence/Thriller,4.29,612,33,"5,961",62,"November 28, 2023",259
Midnight in the Garden of Good and Evil,,John Berendt,Suspence/Thriller,3.92,"2,66,709","11,936",497,6,"January 13, 1994",386
The Grifters,,Jim Thompson,Suspence/Thriller,3.93,"11,463",576,744,9,"January 1, 1963",224
The Cadaver Factory,,Kenneth Jarrett Singleton,Suspence/Thriller,4.36,268,2,985,10,"January 1, 2004",52
